 (2.0206-0.3016j), (nan+nanj), (nan+nanj), (-0.1224+0.0387j), (0.1409+0.0337j)
 (2.0237-0.3054j), (nan+nanj), (nan+nanj), (-0.1210+0.0388j), (0.1418+0.0348j)
 (2.0262-0.3110j), (nan+nanj), (nan+nanj), (-0.1197+0.0391j), (0.1427+0.0360j)
 (2.0281-0.3183j), (nan+nanj), (nan+nanj), (-0.1183+0.0397j), (0.1434+0.0375j)
 (2.0293-0.3273j), (nan+nanj), (nan+nanj), (-0.1170+0.0405j), (0.1440+0.0392j)
 (2.0298-0.3376j), (nan+nanj), (nan+nanj), (-0.1157+0.0414j), (0.1445+0.0410j)
 (2.0295-0.3492j), (nan+nanj), (nan+nanj), (-0.1145+0.0426j), (0.1448+0.0430j)
 (2.0285-0.3618j), (nan+nanj), (nan+nanj), (-0.1133+0.0439j), (0.1449+0.0451j)
 (2.0267-0.3752j), (nan+nanj), (nan+nanj), (-0.1122+0.0454j), (0.1449+0.0472j)
 (2.0241-0.3892j), (nan+nanj), (nan+nanj), (-0.1112+0.0469j), (0.1446+0.0494j)
 (2.0207-0.4037j), (nan+nanj), (nan+nanj), (-0.1102+0.0486j), (0.1442+0.0516j)
 (2.0167-0.4184j), (nan+nanj), (nan+nanj), (-0.1094+0.0504j), (0.1436+0.0537j)
 (2.0119-0.4330j), (nan+nanj), (nan+nanj), (-0.1086+0.0522j), (0.1428+0.0557j)
 (2.0065-0.4475j), (nan+nanj), (nan+nanj), (-0.1079+0.0541j), (0.1419+0.0576j)
 (2.0005-0.4616j), (nan+nanj), (nan+nanj), (-0.1073+0.0561j), (0.1408+0.0593j)
 (1.9941-0.4752j), (nan+nanj), (nan+nanj), (-0.1069+0.0581j), (0.1396+0.0608j)
 (1.9873-0.4880j), (nan+nanj), (nan+nanj), (-0.1066+0.0601j), (0.1383+0.0621j)
 (1.9803-0.4999j), (nan+nanj), (nan+nanj), (-0.1064+0.0620j), (0.1369+0.0631j)
 (1.9732-0.5107j), (nan+nanj), (nan+nanj), (-0.1063+0.0640j), (0.1355+0.0637j)
 (1.9660-0.5202j), (nan+nanj), (nan+nanj), (-0.1064+0.0659j), (0.1341+0.0640j)
 (1.9590-0.5284j), (nan+nanj), (nan+nanj), (-0.1067+0.0677j), (0.1327+0.0641j)
 (1.9523-0.5351j), (nan+nanj), (nan+nanj), (-0.1072+0.0694j), (0.1314+0.0638j)
 (1.9460-0.5402j), (nan+nanj), (nan+nanj), (-0.1078+0.0709j), (0.1302+0.0631j)
 (1.9403-0.5436j), (nan+nanj), (nan+nanj), (-0.1086+0.0722j), (0.1290+0.0623j)
 (1.9352-0.5451j), (nan+nanj), (nan+nanj), (-0.1096+0.0734j), (0.1280+0.0611j)
 (1.9310-0.5448j), (nan+nanj), (nan+nanj), (-0.1108+0.0742j), (0.1271+0.0597j)
 (1.9277-0.5425j), (nan+nanj), (nan+nanj), (-0.1122+0.0747j), (0.1264+0.0582j)
 (1.9254-0.5384j), (nan+nanj), (nan+nanj), (-0.1137+0.0749j), (0.1258+0.0565j)
 (1.9241-0.5322j), (nan+nanj), (nan+nanj), (-0.1153+0.0748j), (0.1254+0.0547j)
 (1.9239-0.5242j), (nan+nanj), (nan+nanj), (-0.1170+0.0742j), (0.1251+0.0528j)
 (1.9247-0.5144j), (nan+nanj), (nan+nanj), (-0.1188+0.0733j), (0.1250+0.0509j)
 (1.9266-0.5028j), (nan+nanj), (nan+nanj), (-0.1206+0.0720j), (0.1251+0.0490j)
 (1.9295-0.4897j), (nan+nanj), (nan+nanj), (-0.1224+0.0704j), (0.1252+0.0470j)
 (1.9333-0.4752j), (nan+nanj), (nan+nanj), (-0.1241+0.0684j), (0.1255+0.0452j)
 (1.9378-0.4596j), (nan+nanj), (nan+nanj), (-0.1256+0.0662j), (0.1259+0.0433j)
 (1.8438+0.0291j), (nan+nanj), (nan+nanj), (-0.2283-0.0040j), (0.0905-0.0005j)
 (1.8411+0.0854j), (nan+nanj), (nan+nanj), (-0.2280-0.0119j), (0.0905-0.0014j)
 (1.8364+0.1388j), (nan+nanj), (nan+nanj), (-0.2271-0.0195j), (0.0906-0.0024j)
 (1.8304+0.1874j), (nan+nanj), (nan+nanj), (-0.2258-0.0267j), (0.0908-0.0033j)
 (1.8239+0.2297j), (nan+nanj), (nan+nanj), (-0.2241-0.0333j), (0.0911-0.0042j)
 (1.8180+0.2650j), (nan+nanj), (nan+nanj), (-0.2221-0.0392j), (0.0914-0.0050j)
 (1.8133+0.2930j), (nan+nanj), (nan+nanj), (-0.2199-0.0442j), (0.0919-0.0058j)
 (1.8103+0.3139j), (nan+nanj), (nan+nanj), (-0.2175-0.0483j), (0.0924-0.0066j)
 (1.8093+0.3281j), (nan+nanj), (nan+nanj), (-0.2150-0.0514j), (0.0929-0.0072j)
 (1.8102+0.3361j), (nan+nanj), (nan+nanj), (-0.2126-0.0534j), (0.0936-0.0078j)
 (1.8131+0.3386j), (nan+nanj), (nan+nanj), (-0.2102-0.0545j), (0.0942-0.0082j)
 (1.8176+0.3359j), (nan+nanj), (nan+nanj), (-0.2080-0.0546j), (0.0950-0.0086j)
 (1.8234+0.3288j), (nan+nanj), (nan+nanj), (-0.2059-0.0538j), (0.0957-0.0088j)
 (1.8304+0.3176j), (nan+nanj), (nan+nanj), (-0.2040-0.0522j), (0.0965-0.0089j)
 (1.8381+0.3028j), (nan+nanj), (nan+nanj), (-0.2023-0.0499j), (0.0974-0.0088j)
